id,set_id,localId,name,set_name,grade,price,sold_date,title,set_phrase_from_title,set_match_name,set_match_score
sv10-233,sv10,233,Team Rocket's Nidoking ex,Destined Rivals,ACE 10,£135.90,Sold 7 Jun 2026,Team Rocket's Nidoking EX 233/182 Destined Rivals Ace 10 Gem Mint,Destined Rivals Ace 10,Destined Rivals,0.811
me04-116,me04,116,Mega Greninja ex,Chaos Rising,ACE 10,£360.20,Sold 7 Jun 2026,Mega Greninja Ex 116/086 (SIR) Chaos Rising - ACE 10 Gem Mint PERFECT SUBGRADES,(SIR) Chaos Rising -,Chaos Rising,0.857
sv04.5-232,sv04.5,232,Mew ex,Paldean Fates,ACE 10,"£1,325.00",Sold 7 Jun 2026,Pokemon Bubble Mew Ex 232/091 SIR Paldean Fates - Ace 10 With Perfect Subgrades,SIR Paldean Fates -,Paldean Fates,0.867
me02.5-234,me02.5,234,Banette,Ascended Heroes,ACE 10,£57.00,Sold 7 Jun 2026,Pokemon TCG - Banette - 234/217 - Ascended Heroes - Ace 10 - Perfect Subgrades,- Ascended Heroes -,Ascended Heroes,1.0
me02-106,me02,106,Meowth,Phantasmal Flames,ACE 10,£73.50,Sold 7 Jun 2026,Meowth 106/094 Me02: Phantasmal Flames Ace 10 slab Perfect Subgrades!,Me02: Phantasmal Flames Ace,Phantasmal Flames,0.791
me02.5-290,me02.5,290,Mega Dragonite ex,Ascended Heroes,ACE 10,£639.10,Sold 7 Jun 2026,Pokémon Mega Dragonite EX 290/217 Ace 10 ascended heroes,Ace 10 ascended heroes,Ascended Heroes,0.811
swsh7-180,swsh7,180,Espeon V,Evolving Skies,ACE 9,£136.99,Sold 7 Jun 2026,Espeon V 180/203 ACE 9 Evolving Skies Pokémon TCG,ACE 9 Evolving Skies,Evolving Skies,0.824
sv10-213,sv10,213,Team Rocket's Mewtwo ex,Destined Rivals,ACE 10,£57.90,Sold 7 Jun 2026,Team Rockets Mewtwo EX 213/182 - Destined Rivals - Perfect Subgrades - ACE 10,- Destined Rivals -,Destined Rivals,1.0
sv09-186,sv09,186,Hop's Zacian ex,Journey Together,ACE 10,£68.99,Sold 7 Jun 2026,Ace 10 Hop's Zacian EX 186/159 Journey Together Gem Mint Pokemon,Journey Together Gem Mint,Journey Together,0.78
me02-106,me02,106,Meowth,Phantasmal Flames,ACE 10,£68.00,Sold 7 Jun 2026,Ace 10 Meowth 106/094 Phantasmal Flames - Illustration Rare,Phantasmal Flames - Illustration,Phantasmal Flames,0.708
B1a-075,B1a,75,Buneary,Crimson Blaze,ACE 10,£35.00,Sold 7 Jun 2026,Hisuian Growlithe 075/066 Crimson Haze ACE 10 GEM MINT Graded Pokemon Card,Crimson Haze ACE 10,Crimson Blaze,0.688
swsh12.5-GG40,swsh12.5,GG40,Glaceon VSTAR,Crown Zenith,ACE 10,£104.99,Sold 7 Jun 2026,Pokemon TCG Glaceon VSTAR GG40/GG70 Crown Zenith Ace 10 Gem Mint Perfect Subs,Crown Zenith Ace 10,Crown Zenith,0.774
sv01-135,sv01,135,Maschiff,Scarlet & Violet,ACE 10,£23.89,Sold 7 Jun 2026,Tyranitar 135/193 Scarlet & Violet Paldea Evolved Stamped Ace 10 Pop 4,Scarlet & Violet Paldea,Scarlet & Violet,0.811
neo2-15,neo2,15,Ursaring,Neo Discovery,ACE 9,£70.00,Sold 7 Jun 2026,Ursaring 15/75 Holo Neo Discovery Pokémon TCG ACE 9,Holo Neo Discovery Pokémon,Neo Discovery,0.684
sv01-199,sv01,199,Tarountula,Scarlet & Violet,ACE 9,£315.00,Sold 7 Jun 2026,Pokémon TCG Charizard EX 199/165 Scarlet & Violet 151 Ace 9 SIR,Scarlet & Violet 151,Scarlet & Violet,0.882
me02.5-276,me02.5,276,Pikachu ex,Ascended Heroes,ACE 10,"£1,299.99",Sold 7 Jun 2026,Pikachu EX 276/217 Pokemon Ascended Heroes Perfect Subgrades ACE 10,Pokemon Ascended Heroes Perfect,Ascended Heroes,0.652
sv10.5w-171,sv10.5w,171,Hilda,White Flare,ACE 10,£45.00,Sold 7 Jun 2026,Pokemon TCG Hilda Special Illustration Rare Card 171/086 White Flare 🔥 ACE 10,White Flare 🔥 ACE,White Flare,0.815
me02.5-238,me02.5,238,Team Rocket's Mimikyu,Ascended Heroes,ACE 10,£63.00,Sold 7 Jun 2026,Team Rocket’s Mimikyu 238/217 ACE 10 Ascended Heroes Pokemon Card,ACE 10 Ascended Heroes,Ascended Heroes,0.811
sv10-208,sv10,208,Team Rocket's Moltres ex,Destined Rivals,ACE 10,£42.30,Sold 7 Jun 2026,Team Rocket's Moltres EX 208/182 Destined Rivals Ace 10 *perfect sub grades*,Destined Rivals Ace 10,Destined Rivals,0.811
sv09-167,sv09,167,N's Reshiram,Journey Together,ACE 10,£40.00,Sold 7 Jun 2026,N's Reshiram 167/159 Journey Together Mint IR Pokemon Ace 10,Journey Together Mint IR,Journey Together,0.8
sv01-171,sv01,171,Energy Retrieval,Scarlet & Violet,ACE 10,£41.26,Sold 7 Jun 2026,Wartortle 171/165 Scarlet Violet 151 Sv2a 2023 Japanese AR Holo Ace 10,Scarlet Violet 151 Sv2a,Scarlet & Violet,0.737
sv01-182,sv01,182,Pal Pad,Scarlet & Violet,ACE 10,£39.18,Sold 7 Jun 2026,Dragonair 182/165 Sv2a Scarlet Violet 151 2023 Japanese AR Holo Ace 10,Sv2a Scarlet Violet 151,Scarlet & Violet,0.737
xy0-3,xy0,3,Chespin,Kalos Starter Set,ACE 9,£18.29,Sold 7 Jun 2026,ACE 9 Mega Gengar ex 003/021 2025 Mega Starter Set Holo JP Graded Pokémon Card T,Mega Starter Set Holo,Kalos Starter Set,0.684
sv01-199,sv01,199,Tarountula,Scarlet & Violet,ACE 9,£312.70,Sold 7 Jun 2026,Pokemon TCG Charizard EX 199/165 Scarlet & Violet 151 Card SIR Condition Ace 9,Scarlet & Violet 151,Scarlet & Violet,0.882
sv10.5b-171,sv10.5b,171,Victini,Black Bolt,ACE 10,£516.70,Sold 7 Jun 2026,Victini 171/086 Black Bolt Ace 10 Grail Guard Included Pokemon Card,Black Bolt Ace 10,Black Bolt,0.741
me02-125,me02,125,Mega Charizard X ex,Phantasmal Flames,ACE 10,£864.40,Sold 7 Jun 2026,Pokémon TCG Mega Charizard X Ex 125/094 Phantasmal Flames ACE 10 Perfect Subs,Phantasmal Flames ACE 10,Phantasmal Flames,0.829
sv02-226,sv02,226,Maushold,Paldea Evolved,ACE 10,£399.99,Sold 7 Jun 2026,Pokemon Maushold 226/193 ACE 10 Paldea Evolved Ace Label & LOW POP,ACE 10 Paldea Evolved,Paldea Evolved,0.8
me03-092,me03,92,Aurorus,Perfect Order,ACE 10,£42.30,Sold 7 Jun 2026,Aurorus 092/088 Me03: Perfect Order Holo ACE 10 PERFECT SUBS,Me03: Perfect Order Holo,Perfect Order,0.722
me02-105,me02,105,Wigglytuff,Phantasmal Flames,ACE 8,£28.00,Sold 7 Jun 2026,Pokemon Wigglytuff 105/094 Phantasmal Flames Ace 8 Graded Slab TCG English,Phantasmal Flames Ace 8,Phantasmal Flames,0.85
me02-105,me02,105,Wigglytuff,Phantasmal Flames,ACE 10,£35.00,Sold 7 Jun 2026,Pokémon TCG Wigglytuff 105/094 Phantasmal Flames - ENGLISH ACE 10,Phantasmal Flames - ENGLISH,Phantasmal Flames,0.791
swsh8-156,swsh8,156,Gengar V,Fusion Strike,ACE 10,£100.00,Sold 7 Jun 2026,ACE 10 Gem Mint - Gengar V 156/264 Pokemon Fusion Strike Holo,Pokemon Fusion Strike Holo,Fusion Strike,0.667
